               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1       82,0.698     ,-0.40     ,3.97      ,0.0714    ,          ,          ,          ,          ,  -7372237
 DSO 2       78,          ,          ,          ,          ,0.429     ,0.687     ,0.845     ,0.0242    ,  -7363174
 DSO 1       83,0.571     ,-1.59     ,1.19      ,0.0437    ,          ,          ,          ,          ,  -7362237
 DSO 2       79,          ,          ,          ,          ,0.151     ,-0.107    ,0.230     ,0.0198    ,  -7353174
 DSO 1       84,0.524     ,1.19      ,-0.99     ,0.0397    ,          ,          ,          ,          ,  -7352237
 DSO 2       80,          ,          ,          ,          ,0.369     ,0.250     ,0.627     ,0.0143    ,  -7343174
 DSO 1       85,0.619     ,-3.17     ,-2.18     ,0.0456    ,          ,          ,          ,          ,  -7342237
 DSO 2       81,          ,          ,          ,          ,0.230     ,0.171     ,0.369     ,0.0175    ,  -7333174
 DSO 1       86,0.714     ,1.19      ,1.59      ,0.0694    ,          ,          ,          ,          ,  -7332237
 DSO 2       82,          ,          ,          ,          ,0.389     ,-0.048    ,0.329     ,0.0222    ,  -7323174
 DSO 1       87,0.746     ,1.59      ,-4.76     ,0.0655    ,          ,          ,          ,          ,  -7322237
 DSO 2       83,          ,          ,          ,          ,0.448     ,0.310     ,0.845     ,0.0194    ,  -7313174
 DSO 1       88,0.524     ,-0.60     ,0.20      ,0.0536    ,          ,          ,          ,          ,  -7312237
 DSO 2       84,          ,          ,          ,          ,0.627     ,0.409     ,0.726     ,0.0155    ,  -7303174
 DSO 1       89,0.556     ,-4.96     ,1.39      ,0.0615    ,          ,          ,          ,          ,  -7302237
 DSO 2       85,          ,          ,          ,          ,0.607     ,0.548     ,0.667     ,0.0194    ,  -7293174
 DSO 1       90,0.508     ,0.00      ,-0.99     ,0.0298    ,          ,          ,          ,          ,  -7292237
 DSO 2       86,          ,          ,          ,          ,0.806     ,0.587     ,0.706     ,0.0258    ,  -7283174
 DSO 1       91,0.492     ,-1.59     ,0.20      ,0.0456    ,          ,          ,          ,          ,  -7282237
 DSO 2       87,          ,          ,          ,          ,0.409     ,0.032     ,0.448     ,0.0171    ,  -7273174
 DSO 1       92,0.651     ,-3.37     ,-2.78     ,0.0575    ,          ,          ,          ,          ,  -7272237
 DSO 2       88,          ,          ,          ,          ,0.091     ,0.210     ,0.270     ,0.0214    ,  -7263174
 DSO 1       93,0.635     ,-0.60     ,-3.57     ,0.0655    ,          ,          ,          ,          ,  -7262237
 DSO 2       89,          ,          ,          ,          ,0.290     ,0.032     ,0.409     ,0.0206    ,  -7253174
 DSO 1       94,0.556     ,-1.59     ,1.19      ,0.0456    ,          ,          ,          ,          ,  -7252237
 DSO 2       90,          ,          ,          ,          ,0.131     ,0.250     ,0.429     ,0.0163    ,  -7243174
 DSO 1       95,0.714     ,0.00      ,-1.98     ,0.0556    ,          ,          ,          ,          ,  -7242237
 DSO 2       91,          ,          ,          ,          ,0.825     ,0.567     ,0.607     ,0.0274    ,  -7233174
 DSO 1       96,0.556     ,-1.59     ,-0.20     ,0.0536    ,          ,          ,          ,          ,  -7232237
 DSO 2       92,          ,          ,          ,          ,0.706     ,0.429     ,0.726     ,0.0167    ,  -7223174
 DSO 1       97,0.683     ,-3.17     ,0.20      ,0.0595    ,          ,          ,          ,          ,  -7222237
 DSO 2       93,          ,          ,          ,          ,0.448     ,0.627     ,0.567     ,0.0171    ,  -7213174
 DSO 1       98,0.556     ,-4.37     ,3.57      ,0.0357    ,          ,          ,          ,          ,  -7212237
 DSO 2       94,          ,          ,          ,          ,0.667     ,0.806     ,0.627     ,0.0234    ,  -7203174
 DSO 1       99,0.587     ,0.20      ,2.18      ,0.0417    ,          ,          ,          ,          ,  -7202237
 DSO 2       95,          ,          ,          ,          ,0.468     ,0.111     ,0.310     ,0.0155    ,  -7193174
 DSO 1      100,0.492     ,0.99      ,3.77      ,0.0516    ,          ,          ,          ,          ,  -7192237
 DSO 2       96,          ,          ,          ,          ,0.389     ,-0.067    ,0.290     ,0.0187    ,  -7183174
 DSO 1      101,0.730     ,-3.17     ,-3.97     ,0.0694    ,          ,          ,          ,          ,  -7182237
 DSO 2       97,          ,          ,          ,          ,0.488     ,0.210     ,0.587     ,0.0190    ,  -7173174
 DSO 1      102,0.667     ,-2.58     ,-1.19     ,0.0595    ,          ,          ,          ,          ,  -7172237
 DSO 2       98,          ,          ,          ,          ,0.429     ,0.290     ,0.468     ,0.0258    ,  -7163174
 DSO 1      103,0.508     ,2.58      ,-1.98     ,0.0516    ,          ,          ,          ,          ,  -7162237
 DSO 2       99,          ,          ,          ,          ,0.627     ,0.310     ,0.806     ,0.0179    ,  -7153174
 DSO 1      104,0.714     ,-0.60     ,-2.58     ,0.0516    ,          ,          ,          ,          ,  -7152237
 DSO 2      100,          ,          ,          ,          ,0.528     ,0.825     ,0.607     ,0.0206    ,  -7143174
 DSO 1      105,0.635     ,0.40      ,-0.40     ,0.0853    ,          ,          ,          ,          ,  -7142237
 DSO 2      101,          ,          ,          ,          ,0.429     ,0.349     ,0.508     ,0.0179    ,  -7133174
 DSO 1      106,0.571     ,-4.56     ,0.79      ,0.0357    ,          ,          ,          ,          ,  -7132237
 DSO 2      102,          ,          ,          ,          ,0.627     ,0.429     ,0.726     ,0.0282    ,  -7123174
 DSO 1      107,0.810     ,-0.40     ,0.60      ,0.0595    ,          ,          ,          ,          ,  -7122237
 DSO 2      103,          ,          ,          ,          ,0.627     ,0.409     ,0.726     ,0.0250    ,  -7113174
 DSO 1      108,0.889     ,-2.78     ,0.20      ,0.0377    ,          ,          ,          ,          ,  -7112237
 DSO 2      104,          ,          ,          ,          ,0.329     ,-0.028    ,0.429     ,0.0155    ,  -7103174
 DSO 1      109,0.603     ,-1.59     ,0.40      ,0.0456    ,          ,          ,          ,          ,  -7102237
 DSO 2      105,          ,          ,          ,          ,0.131     ,0.032     ,0.349     ,0.0135    ,  -7093174
 DSO 1      110,0.619     ,-3.37     ,0.20      ,0.0377    ,          ,          ,          ,          ,  -7092237
 DSO 2      106,          ,          ,          ,          ,0.409     ,0.250     ,0.508     ,0.0210    ,  -7083174
 DSO 1      111,0.746     ,1.19      ,-3.37     ,0.0833    ,          ,          ,          ,          ,  -7082237
 DSO 2      107,          ,          ,          ,          ,0.508     ,0.091     ,0.389     ,0.0107    ,  -7073174
 DSO 1      112,0.524     ,-1.59     ,0.00      ,0.0516    ,          ,          ,          ,          ,  -7072237
 DSO 2      108,          ,          ,          ,          ,0.627     ,0.528     ,0.825     ,0.0159    ,  -7063174
 DSO 1      113,0.698     ,-4.17     ,1.39      ,0.0694    ,          ,          ,          ,          ,  -7062237
 DSO 2      109,          ,          ,          ,          ,0.647     ,0.409     ,0.528     ,0.0155    ,  -7053174
 DSO 1      114,0.524     ,-1.98     ,1.59      ,0.0278    ,          ,          ,          ,          ,  -7052237
 DSO 2      110,          ,          ,          ,          ,0.488     ,0.567     ,0.647     ,0.0222    ,  -7043174
 DSO 1      115,0.492     ,-2.18     ,3.57      ,0.0516    ,          ,          ,          ,          ,  -7042237
 DSO 2      111,          ,          ,          ,          ,0.567     ,0.389     ,0.766     ,0.0187    ,  -7033174
 DSO 1      116,0.619     ,-1.79     ,3.17      ,0.0238    ,          ,          ,          ,          ,  -7032237
 DSO 2      112,          ,          ,          ,          ,0.369     ,0.190     ,0.607     ,0.0183    ,  -7023174
 DSO 1      117,0.603     ,0.20      ,1.59      ,0.0516    ,          ,          ,          ,          ,  -7022237
 DSO 2      113,          ,          ,          ,          ,0.230     ,0.210     ,0.409     ,0.0159    ,  -7013174
 DSO 1      118,0.619     ,-0.99     ,-0.20     ,0.0456    ,          ,          ,          ,          ,  -7012237
 DSO 2      114,          ,          ,          ,          ,0.508     ,0.210     ,0.171     ,0.0187    ,  -7003174
 DSO 1      119,0.794     ,-3.37     ,-1.39     ,0.0575    ,          ,          ,          ,          ,  -7002237
